codigo_produto,nome_produto,quantidade_devolvida,valor_devolvido,num_devolucoes
22867,HAND WARMER BIRD DESIGN,-53,-111.30000000000001,6
22168,ORGANISER WOOD ANTIQUE WHITE,-13,-110.5,9
23208,LUNCH BAG VINTAGE LEAF DESIGN,-73,-109.85,4
47599B,BLUE PARTY BAGS,-52,-109.2,2
22694,WICKER STAR,-52,-109.2,4
21539,RED RETROSPOT BUTTER DISH,-23,-108.95,16
22556,PLASTERS IN TIN CIRCUS PARADE,-66,-108.9,10
15034,PAPER POCKET TRAVELING FAN,-1385,-108.29000000000002,4
22780,LIGHT GARLAND BUTTERFILES PINK,-25,-106.25,8
22779,WOODEN OWLS LIGHT GARLAND,-25,-106.25,6
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,-28,-105.0,2
22398,MAGNETS PACK OF 4 SWALLOWS,-84,-105.0,4
23351,ROLL WRAP 50'S CHRISTMAS,-96,-104.88,3
22130,PARTY CONE CHRISTMAS DECORATION,-145,-104.53,2
22113,GREY HEART HOT WATER BOTTLE,-27,-104.25,4
22628,PICNIC BOXES SET OF 3 RETROSPOT,-21,-103.95,11
22595,CHRISTMAS GINGHAM HEART,-144,-103.68,1
22593,CHRISTMAS GINGHAM STAR,-144,-103.68,1
22841,ROUND CAKE TIN VINTAGE GREEN,-13,-103.35000000000001,9
71459,HANGING JAM JAR T-LIGHT HOLDER,-126,-103.33,10
23082,SET 6 PAPER TABLE LANTERN HEARTS,-28,-103.16,6
21668,RED STRIPE CERAMIC DRAWER KNOB,-84,-102.67,10
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,-120,-102.0,1
23007,SPACEBOY BABY GIFT SET,-6,-101.7,3
84818,DANISH ROSE PHOTO FRAME,-95,-101.45,7
23176,ABC TREASURE BOOK BOX,-45,-101.25,10
21873,IF YOU CAN'T STAND THE HEAT MUG,-91,-100.07000000000001,4
23041,PAPER LANTERN 9 POINT SNOW STAR,-24,-99.6,1
22940,FELTCRAFT CHRISTMAS FAIRY,-34,-99.5,5
21868,POTTING SHED TEA MUG,-85,-99.41,10
21485,RETROSPOT HEART HOT WATER BOTTLE,-20,-99.0,8
22430,ENAMEL WATERING CAN CREAM,-20,-99.0,7
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,-75,-98.75,8
23315,IVORY REFECTORY CLOCK,-12,-97.8,1
48138,DOORMAT UNION FLAG,-12,-97.5,7
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,-103,-97.46,19
22362,GLASS JAR PEACOCK BATH SALTS,-33,-97.35000000000001,7
23206,LUNCH BAG APPLE DESIGN,-59,-97.15,13
22605,WOODEN CROQUET GARDEN SET,-8,-97.0,7
21670,BLUE SPOT CERAMIC DRAWER KNOB,-69,-96.25,7
37450,CERAMIC CAKE BOWL + HANGING CAKES,-36,-96.2,12
84991,60 TEATIME FAIRY CAKE CASES,-174,-95.69999999999999,8
84944,SET OF 6 KASHMIR FOLKART BAUBLES,-58,-95.69999999999999,2
23275,SET OF 3 HANGING OWLS OLLIE BEAK,-77,-95.41,4
23526,WALL ART DOG LICENCE,-16,-95.2,2
23240,SET OF 4 KNICK KNACK TINS DOILEY,-23,-95.05,7
22231,JIGSAW TREE WITH BIRDHOUSE,-69,-95.05,9
20977,36 PENCILS TUBE WOODLAND,-75,-93.75,4
22041,"RECORD FRAME 7"" SINGLE SIZE",-38,-93.75,4
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,-25,-93.75,2
21528,DAIRY MAID TRADITIONAL TEAPOT,-14,-93.3,10
23198,PANTRY MAGNETIC  SHOPPING LIST,-64,-92.8,14
22629,SPACEBOY LUNCH BOX,-54,-92.7,8
22144,CHRISTMAS CRAFT LITTLE FRIENDS,-44,-92.4,3
21259,VICTORIAN SEWING BOX SMALL,-16,-92.2,8
22963,JAM JAR WITH GREEN LID,-115,-90.86,12
23080,RED METAL BOX TOP SECRET,-11,-90.75,7
21121,SET/10 RED POLKADOT PARTY CANDLES,-72,-90.0,3
84378,SET OF 3 HEART COOKIE CUTTERS,-72,-90.0,4
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,-72,-90.0,2
84616,SILVER ROCCOCO CHANDELIER,-3,-89.85,2
21217,RED RETROSPOT ROUND CAKE TINS,-9,-89.55,7
23487,SWEET HEART CAKE CARRIER,-9,-89.55,6
84459A,PINK METAL CHICKEN HEART,-60,-89.39999999999999,3
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,-163,-89.29,4
22926,IVORY GIANT GARDEN THERMOMETER,-15,-89.25,6
21622,VINTAGE UNION JACK CUSHION COVER,-18,-89.1,6
37446,MINI CAKE STAND WITH HANGING CAKES,-69,-88.85,12
21974,SET OF 36 PAISLEY FLOWER DOILIES,-61,-88.44999999999999,6
21257,VICTORIAN SEWING BOX MEDIUM,-12,-88.4,5
22156,HEART DECORATION WITH PEARLS,-105,-88.21,13
22845,VINTAGE CREAM CAT FOOD CONTAINER,-14,-88.1,9
22829,SWEETHEART WIRE WALL TIDY,-10,-87.9,2
23249,VINTAGE RED ENAMEL TRIM PLATE,-55,-87.71000000000001,7
22442,GROW YOUR OWN FLOWERS SET OF 3,-11,-87.45,7
20719,WOODLAND CHARLOTTE BAG,-112,-87.4,8
22060,LARGE CAKE STAND HANGING HEARTS,-16,-87.2,6
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,-30,-86.7,4
85159B,"WHITE TEA,COFFEE,SUGAR JARS",-38,-86.54,13
22623,BOX OF VINTAGE JIGSAW BLOCKS,-16,-85.2,5
22993,SET OF 4 PANTRY JELLY MOULDS,-68,-85.0,9
21915,RED  HARMONICA IN BOX,-67,-83.75,9
22809,SET OF 6 T-LIGHTS SANTA,-30,-83.70000000000002,3
22927,GREEN GIANT GARDEN THERMOMETER,-14,-83.3,7
23194,GYMKHANA TREASURE BOOK BOX,-37,-83.25,8
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,-101,-83.05,2
23254,CHILDRENS CUTLERY DOLLY GIRL,-20,-83.0,8
23045,PAPER LANTERN 5 POINT STAR MOON,-20,-83.0,1
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,-28,-82.60000000000001,2
21499,BLUE POLKADOT WRAP,-225,-82.5,2
22508,DOORSTOP RETROSPOT HEART,-22,-82.5,4
85159A,"BLACK TEA,COFFEE,SUGAR JARS",-40,-82.39999999999999,6
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,-96,-81.6,1
23236,STORAGE TIN VINTAGE DOILY,-28,-80.92,12
21535,RED RETROSPOT SMALL MILK JUG,-32,-80.69999999999999,16
21452,TOADSTOOL MONEY BOX,-28,-80.2,12
22571,ROCKING HORSE RED CHRISTMAS,-109,-80.17,3
22965,3 TRADITIONAL BISCUIT CUTTERS  SET,-38,-79.80000000000001,5
23126,FELTCRAFT GIRL AMELIE KIT,-16,-79.2,6
23393,HOME SWEET HOME CUSHION COVER,-21,-78.75,6
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-16,-78.5,10
22795,SWEETHEART RECIPE BOOK STAND,-17,-78.45,3
22989,SET 2 PANTRY DESIGN TEA TOWELS,-24,-78.0,4
20975,12 PENCILS SMALL TUBE RED RETROSPOT,-120,-78.0,4
23092,LARGE ANTIQUE WHITE PHOTO FRAME,-10,-77.75,9
22380,TOY TIDY SPACEBOY,-37,-77.7,6
84817,DANISH ROSE DECORATIVE PLATE,-37,-77.7,6
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,-59,-77.55,7
23004,TRAVEL CARD WALLET PANTRY,-184,-77.28,4
21275,ZINC TOP  2 DOOR WOODEN SHELF,-5,-76.75,2
22312,OFFICE MUG WARMER POLKADOT,-26,-76.70000000000002,2
22357,KINGS CHOICE BISCUIT TIN,-18,-76.5,8
22626,BLACK KITCHEN SCALES,-9,-76.5,4
22485,SET OF 2 WOODEN MARKET CRATES,-6,-76.5,4
22486,PLASMATRONIC LAMP,-6,-76.5,3
22526,WHEELBARROW FOR CHILDREN,-6,-76.5,4
22107,PIZZA PLATE IN BOX,-21,-76.25,4
21156,RETROSPOT CHILDRENS APRON,-39,-76.05,8
23032,DRAWER KNOB CRACKLE GLAZE IVORY,-46,-75.9,11
21845,DAIRY MAID STRIPE MUG,-52,-75.64,8
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,-75.60000000000001,1
20934,SET/3 POT PLANT CANDLES,-14,-75.30000000000001,4
22832,BROCANTE SHELF WITH HOOKS,-7,-75.25,5
23212,HEART WREATH DECORATION WITH BELL,-60,-75.0,3
23077,DOUGHNUT LIP GLOSS,-60,-75.0,3
23458,DOLLY CABINET 3 DRAWERS,-5,-74.75,4
22760,"TRAY, BREAKFAST IN BED",-6,-74.7,6
22998,TRAVEL CARD WALLET KEEP CALM,-177,-74.34,11
21429,RED GINGHAM ROSE JEWELLERY BOX,-42,-74.1,9
21810,CHRISTMAS HANGING STAR WITH BELL,-59,-73.75,2
23020,GLASS  SONGBIRD STORAGE JAR,-6,-73.65,6
82600,NO SINGING METAL SIGN,-38,-73.30000000000001,4
85034C,3 ROSE MORRIS BOXED CANDLES,-20,-73.0,5
22947,WOODEN ADVENT CALENDAR RED,-6,-72.92,4
21190,PINK HEARTS PAPER GARLAND,-50,-72.5,1
23251,VINTAGE RED ENAMEL TRIM MUG,-58,-72.5,5
21790,VINTAGE SNAP CARDS,-85,-72.24999999999999,3
22962,JAM JAR WITH PINK LID,-85,-72.11999999999999,21
22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,-26,-71.9,4
22158,3 HEARTS HANGING DECORATION RUSTIC,-25,-71.75,8
22057,CERAMIC PLATE STRAWBERRY DESIGN,-48,-71.52,4
22072,RED RETROSPOT TEA CUP AND SAUCER,-19,-71.25,9
22801,ANTIQUE GLASS PEDESTAL BOWL,-19,-70.89,11
23470,CARD HOLDER LOVE BIRD LARGE,-12,-70.7,8
22128,PARTY CONES CANDY ASSORTED,-56,-70.0,3
23225,CHERUB HEART DECORATION SILVER,-84,-69.72,4
22211,WOOD STAMP SET FLOWERS,-48,-69.6,1
22198,LARGE POPCORN HOLDER,-43,-69.35,15
21812,GARLAND WITH HEARTS AND BELLS,-14,-69.30000000000001,3
22939,APRON APPLE DELIGHT,-14,-69.30000000000001,2
21363,HOME SMALL WOOD LETTERS,-14,-69.3,6
22983,CARD BILLBOARD FONT,-181,-68.76,3
21730,GLASS STAR FROSTED T-LIGHT HOLDER,-14,-68.6,8
22367,CHILDRENS APRON SPACEBOY DESIGN,-35,-68.25,11
23480,MINI LIGHTS WOODLAND MUSHROOMS,-20,-68.1,2
90185C,BLACK DIAMANTE EXPANDABLE RING,-16,-68.0,3
84247E,PACK OF 12 CHRISTMAS FUN CARDS,-23,-67.85000000000001,2
84352,SILVER CHRISTMAS TREE BAUBLE STAND,-4,-67.8,3
23324,RUSTIC STRAWBERRY JAM POT LARGE,-35,-67.50999999999999,2
21591,COSY HOUR CIGAR BOX MATCHES,-54,-67.5,2
22843,BISCUIT TIN VINTAGE GREEN,-10,-67.5,8
37448,CERAMIC CAKE DESIGN SPOTTED MUG,-45,-67.05,12
22558,CLOTHES PEGS RETROSPOT PACK 24,-42,-66.58,11
23042,PAPER LANTERN 7 POINT SNOW STAR,-10,-66.5,1
22951,60 CAKE CASES DOLLY GIRL DESIGN,-120,-66.0,5
22737,RIBBON REEL CHRISTMAS PRESENT,-40,-66.0,2
51014L,"FEATHER PEN,LIGHT PINK",-84,-65.88,2
23168,CLASSIC CAFE SUGAR DISPENSER,-54,-65.61,18
23238,SET OF 4 KNICK KNACK TINS LONDON,-16,-65.60000000000001,8
C2,CARRIAGE,-2,-65.0,2
20682,RED RETROSPOT CHILDRENS UMBRELLA,-20,-65.0,6
22299,PIG KEYRING WITH LIGHT & SOUND,-52,-65.0,3
22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,-22,-64.9,4
22621,TRADITIONAL KNITTING NANCY,-51,-64.75,4
23321,SMALL WHITE HEART OF WICKER,-39,-64.35,4
22631,CIRCUS PARADE LUNCH BOX,-33,-64.35,5
23127,FELTCRAFT GIRL NICOLE KIT,-13,-64.35,3
23313,VINTAGE CHRISTMAS BUNTING,-13,-64.35,2
22325,MOBILE VINTAGE HEARTS,-13,-64.35,6
23184,BULL DOG BOTTLE OPENER,-13,-64.35,4
21534,DAIRY MAID LARGE MILK JUG,-13,-64.35,8
46000S,POLYESTER FILLER PAD 40X40CM,-44,-63.8,3
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,-17,-63.75,3
20749,ASSORTED COLOUR MINI CASES,-8,-63.6,6
85116,BLACK CANDELABRA T-LIGHT HOLDER,-30,-63.00000000000001,2
20723,STRAWBERRY CHARLOTTE BAG,-75,-62.71,12
23314,VINTAGE CHRISTMAS TABLECLOTH,-5,-62.5,2
20961,STRAWBERRY BATH SPONGE,-50,-62.5,1
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,-30,-62.400000000000006,2
84992,72 SWEETHEART FAIRY CAKE CASES,-130,-62.14,4
22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-22,-62.1,9
22027,TEA PARTY BIRTHDAY CARD,-168,-61.92,3
84535B,FAIRY CAKES NOTEBOOK A6 SIZE,-95,-61.75,2
21124,SET/10 BLUE POLKADOT PARTY CANDLES,-49,-61.25,3
21122,SET/10 PINK POLKADOT PARTY CANDLES,-49,-61.25,3
51014A,"FEATHER PEN,HOT PINK",-72,-61.2,1
21288,STRIPEY CHOCOLATE NESTING BOXES,-24,-61.2,1
22897,OVEN MITT APPLES DESIGN,-42,-60.9,5
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,-36,-60.84,3
21352,EUCALYPTUS & PINECONE  WREATH,-9,-60.75,2
84598,BOYS ALPHABET IRON ON PATCHES,-288,-60.48,1
23226,FILIGREE HEART DAISY WHITE,-48,-60.0,1
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,-16,-60.0,7
23267,SET OF 4 SANTA PLACE SETTINGS,-48,-60.0,1
23078,ICE CREAM PEN LIP GLOSS,-48,-60.0,2
84632,DECORATIVE HANGING SHELVING UNIT,-1,-59.95,1
22770,MIRROR CORNICE,-4,-59.8,4
21198,WHITE HEART CONFETTI IN TUBE,-72,-59.760000000000005,2
23397,FOOT STOOL HOME SWEET HOME,-6,-59.699999999999996,5
23407,SET OF 2 TRAYS HOME SWEET HOME,-6,-59.699999999999996,4
20821,GOLDIE LOOKING MIRROR,-12,-59.400000000000006,2
21846,PINK DIAMANTE PEN IN GIFT BOX,-12,-59.400000000000006,1
22301,COFFEE MUG CAT + BIRD DESIGN,-24,-59.4,11
21891,TRADITIONAL WOODEN SKIPPING ROPE,-46,-59.31999999999999,6
23209,LUNCH BAG VINTAGE DOILY,-36,-59.2,7
22632,HAND WARMER RED RETROSPOT,-29,-59.150000000000006,8
21242,RED RETROSPOT PLATE,-35,-59.15,4
21876,POTTERING MUG,-42,-58.9,8
23263,SET OF 3 WOODEN HEART DECORATIONS,-47,-58.75,5
21844,RED RETROSPOT MUG,-20,-58.60000000000001,11
22653,BUTTON BOX,-30,-58.5,2
15056P,EDWARDIAN PARASOL PINK,-10,-58.2,4
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-14,-58.0,4
21792,CLASSIC FRENCH STYLE BASKET GREEN,-9,-57.95,2
22371,AIRLINE BAG VINTAGE TOKYO 78,-14,-57.78,10
23015,CORDIAL GLASS JUG,-7,-57.75,3
22488,NATURAL SLATE RECTANGLE CHALKBOARD,-35,-57.75,9
23283,DOORMAT VINTAGE LEAF,-7,-57.45,2
85053,FRENCH ENAMEL CANDLEHOLDER,-28,-57.160000000000004,14
23237,SET OF 4 KNICK KNACK TINS LEAF,-14,-56.900000000000006,8
22788,BROCANTE COAT RACK,-6,-56.8,4
21262,WHITE GOOSE FEATHER CHRISTMAS TREE,-5,-56.75,3
22381,TOY TIDY PINK POLKADOT,-27,-56.45,7
22585,PACK OF 6 BIRDY GIFT TAGS,-45,-56.25,3
21888,BINGO SET,-15,-56.25,5
23242,TREASURE TIN BUFFALO BILL,-27,-56.160000000000004,3
22064,PINK DOUGHNUT TRINKET POT,-35,-56.15,14
22242,5 HOOK HANGER MAGIC TOADSTOOL,-34,-56.1,3
22077,6 RIBBONS RUSTIC CHARM,-34,-56.1,6
22972,CHILDREN'S SPACEBOY MUG,-34,-56.1,8
21977,PACK OF 60 PINK PAISLEY CAKE CASES,-101,-55.55,6
21932,SCANDINAVIAN PAISLEY PICNIC BAG,-33,-55.349999999999994,3
84688,BEACH HUT DESIGN BLACKBOARD,-13,-55.25,2
21137,BLACK RECORD COVER FRAME,-15,-55.17,5
84880,WHITE WIRE EGG HOLDER,-9,-55.1,2
22232,JIGSAW TOADSTOOLS 3 PIECE,-64,-54.72,5
21908,CHOCOLATE THIS WAY METAL SIGN,-26,-54.60000000000001,3
22633,HAND WARMER UNION JACK,-26,-54.6,7
23302,KNEELING MAT HOUSEWORK  DESIGN,-36,-54.24,5
22179,SET 10 LIGHTS NIGHT OWL,-8,-54.0,5
79323P,PINK CHERRY LIGHTS,-8,-54.0,2
79323B,BLACK CHERRY LIGHTS,-8,-54.0,2
79323W,WHITE CHERRY LIGHTS,-8,-54.0,1
23002,TRAVEL CARD WALLET SKULLS,-128,-53.76,8
21055,TOOL BOX SOFT TOY,-6,-53.7,1
20679,EDWARDIAN PARASOL RED,-9,-53.550000000000004,3
22320,BIRDS MOBILE VINTAGE DESIGN,-9,-53.550000000000004,4
23356,LOVE HOT WATER BOTTLE,-9,-53.55,2
23099,FRENCH CARRIAGE LANTERN,-8,-53.2,4
22413,METAL SIGN TAKE IT OR LEAVE IT,-18,-53.10000000000001,3
22808,SET OF 6 T-LIGHTS EASTER CHICKS,-18,-53.1,1
22859,EASTER TIN BUNNY BOUQUET,-32,-52.800000000000004,6
84750A,PINK SMALL GLASS CAKE STAND,-27,-52.65,2
16169E,WRAP 50'S  CHRISTMAS,-125,-52.5,2
23159,SET OF 5 PANCAKE DAY MAGNETS,-25,-52.0,3
85019C,CURIOUS  IMAGES NOTEBOOK SET,-12,-51.0,1
21361,LOVE LARGE WOOD LETTERS,-4,-51.0,2
84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,-4,-51.0,2
84826,ASSTD DESIGN 3D PAPER STICKERS,-60,-51.0,1
21205,MULTICOLOUR 3D BALLS GARLAND,-20,-51.0,3
23010,CIRCUS PARADE BABY GIFT SET,-3,-50.849999999999994,2
21833,CAMOUFLAGE LED TORCH,-30,-50.7,3
22212,FOUR HOOK  WHITE LOVEBIRDS,-24,-50.400000000000006,8
22902,TOTE BAG I LOVE LONDON,-24,-50.400000000000006,2
22494,EMERGENCY FIRST AID TIN,-40,-50.0,7
22217,T-LIGHT HOLDER HANGING LACE,-40,-50.0,1
84997A,CHILDRENS CUTLERY POLKADOT GREEN,-13,-49.95,3
23392,SPACEBOY ROCKET LOLLY MAKERS,-24,-49.92,1
23156,SET OF 5 MINI GROCERY MAGNETS,-24,-49.92,2
23354,6 GIFT TAGS 50'S CHRISTMAS,-60,-49.8,3
23140,TRIPLE WIRE HOOK IVORY HEART,-12,-49.8,1
23413,VINTAGE COFFEE GRINDER BOX,-12,-49.8,1
23460,SWEETHEART WALL TIDY,-5,-49.75,4
22763,KEY CABINET MA CAMPAGNE,-5,-49.75,3
22167,OVAL WALL MIRROR DIAMANTE,-5,-49.75,3
23081,GREEN METAL BOX ARMY SUPPLIES,-6,-49.5,3
22079,RIBBON REEL HEARTS DESIGN,-30,-49.5,3
21524,DOORMAT SPOTTY HOME SWEET HOME,-6,-48.9,3
22349,DOG BOWL CHASING BALL DESIGN,-13,-48.75,2
21927,BLUE/CREAM STRIPE CUSHION COVER,-39,-48.75,8
23542,WALL ART 70'S ALPHABET,-6,-48.7,3
90160A,PURPLE BOUDICCA LARGE BRACELET,-7,-48.65,1
23307,SET OF 60 PANTRY DESIGN CAKE CASES,-88,-48.4,5
22690,DOORMAT HOME SWEET HOME BLUE,-6,-48.3,4
21530,DAIRY MAID TOASTRACK,-61,-48.190000000000005,8
23221,REINDEER HEART DECORATION SILVER,-58,-48.14,3
22554,PLASTERS IN TIN WOODLAND ANIMALS,-29,-47.85,5
22551,PLASTERS IN TIN SPACEBOY,-29,-47.85,8
22536,MAGIC DRAWING SLATE PURDEY,-131,-47.82,2
48184,DOORMAT ENGLISH ROSE,-6,-47.7,3
20750,RED RETROSPOT MINI CASES,-6,-47.7,4
22925,BLUE GIANT GARDEN THERMOMETER,-8,-47.6,5
23348,CHILDRENS TOY COOKING UTENSIL SET,-23,-47.260000000000005,8
21351,CINAMMON & ORANGE WREATH,-7,-47.25,2
21937,STRAWBERRY   PICNIC BAG,-16,-47.2,6
85063,CREAM SWEETHEART MAGAZINE RACK,-3,-46.849999999999994,2
21642,ASSORTED TUTTI FRUTTI PEN,-118,-46.54,6
47567B,TEA TIME KITCHEN APRON,-8,-46.3,5
23234,BISCUIT TIN VINTAGE CHRISTMAS,-16,-46.24,5
23103,JINGLE BELL HEART DECORATION,-28,-46.2,3
23029,DRAWER KNOB CRACKLE GLAZE GREEN,-28,-46.199999999999996,8
22896,PEG BAG APPLES DESIGN,-18,-45.900000000000006,2
22307,GOLD MUG BONE CHINA TREE OF LIFE,-39,-45.9,5
23203,JUMBO BAG DOILEY PATTERNS,-22,-45.760000000000005,4
37342,POLKADOT COFFEE CUP & SAUCER PINK,-56,-45.68,3
21068,VINTAGE BILLBOARD LOVE/HATE MUG,-42,-45.66,3
20931,BLUE POT PLANT CANDLE,-15,-45.050000000000004,3
21791,VINTAGE HEADS AND TAILS CARD GAME,-36,-45.0,3
23193,BUFFALO BILL TREASURE BOOK BOX,-20,-45.0,6
23177,TREASURE ISLAND BOOK BOX,-20,-45.0,5
21914,BLUE HARMONICA IN BOX,-36,-45.0,2
22426,ENAMEL WASH BOWL CREAM,-12,-45.0,4
21821,GLITTER STAR GARLAND WITH BELLS,-12,-45.0,1
22073,RED RETROSPOT STORAGE JAR,-12,-45.0,2
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,-69,-44.85,12
22557,PLASTERS IN TIN VINTAGE PAISLEY,-27,-44.55,4
22327,ROUND SNACK BOXES SET OF 4 SKULLS,-15,-44.25,6
22439,6 ROCKET BALLOONS,-68,-44.2,3
22907,PACK OF 20 NAPKINS PANTRY DESIGN,-52,-44.199999999999996,6
22761,CHEST 7 DRAWER MA CAMPAGNE,-2,-43.9,1
21277,FRENCH STYLE EMBOSSED HEART CABINET,-2,-43.9,2
23091,ZINC HERB GARDEN CONTAINER,-7,-43.75,4
84836,ZINC METAL HEART DECORATION,-35,-43.75,2
23287,RED VINTAGE SPOT BEAKER,-51,-43.349999999999994,2
22741,FUNKY DIVA PEN,-51,-43.349999999999994,3
21399,BLUE POLKADOT COFFEE MUG,-111,-43.29,3
21238,RED RETROSPOT CUP,-51,-43.22,9
22701,PINK DOG BOWL,-16,-43.0,5
20718,RED RETROSPOT SHOPPER BAG,-35,-42.99,5
21626,VINTAGE UNION JACK PENNANT,-22,-42.9,5
51014C,"FEATHER PEN,COAL BLACK",-110,-42.9,4
23297,SET 40 HEART SHAPE PETIT FOUR CASES,-26,-42.9,4
23347,I LOVE LONDON BEAKER,-34,-42.5,3
22294,HEART FILIGREE DOVE  SMALL,-34,-42.5,3
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,-25,-42.25,2
22465,HANGING METAL STAR LANTERN,-27,-42.15,7
21864,UNION JACK FLAG PASSPORT COVER,-20,-42.0,1
21098,CHRISTMAS TOILET ROLL,-39,-41.91,2
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,-31,-41.9,9
23534,WALL ART STOP FOR TEA,-7,-41.650000000000006,1
23286,BLUE VINTAGE SPOT BEAKER,-49,-41.65,3
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,-49,-41.65,5
22777,GLASS CLOCHE LARGE,-5,-41.65,4
21832,CHOCOLATE CALCULATOR,-25,-41.25,1
85175,CACTI T-LIGHT CANDLES,-98,-41.160000000000004,4
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,-21,-40.95,1
48173C,DOORMAT BLACK FLOCK,-5,-40.95,3
23229,VINTAGE DONKEY TAIL GAME,-11,-40.89,5
22586,FELTCRAFT HAIRBAND PINK AND BLUE,-48,-40.800000000000004,2
22352,LUNCH BOX WITH CUTLERY RETROSPOT,-16,-40.8,9
84800L,LARGE WHITE/PINK ROSE ART FLOWER,-24,-40.56,1
85141,JARDIN ETCHED GLASS FRUITBOWL,-9,-40.55,3
23235,STORAGE TIN VINTAGE LEAF,-14,-40.46,7
22818,CARD CHRISTMAS VILLAGE,-96,-40.32,3
20711,JUMBO BAG TOYS,-22,-40.31,7
22342,HOME GARLAND PAINTED ZINC,-36,-40.2,2
21523,DOORMAT FANCY FONT HOME SWEET HOME,-5,-40.05,3
48188,DOORMAT WELCOME PUPPIES,-5,-40.05,3
22444,GROW YOUR OWN PLANT IN A CAN,-32,-40.0,3
22094,RED RETROSPOT TISSUE BOX,-65,-39.97,5
21686,MEDINA STAMPED METAL STOOL,-1,-39.95,1
82582,AREA PATROLLED METAL SIGN,-19,-39.9,4
23414,ZINC BOX SIGN HOME,-4,-39.8,1
21623,VINTAGE UNION JACK MEMOBOARD,-4,-39.8,4
22794,SWEETHEART WIRE MAGAZINE RACK,-5,-39.75,4
21777,RECIPE BOX WITH METAL HEART,-5,-39.75,2
21645,ASSORTED TUTTI FRUTTI ROUND BOX,-24,-39.6,1
22476,EMPIRE UNION JACK TV DINNER TRAY,-8,-39.6,1
22332,SKULLS PARTY BAG + STICKER SET,-24,-39.6,4
22759,SET OF 3 NOTEBOOKS IN PARCEL,-24,-39.6,2
23433,HANGING QUILTED PATCHWORK APPLES,-47,-39.010000000000005,3
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,-20,-39.0,1
22863,SOAP DISH BROCANTE,-13,-38.35000000000001,2
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-32,-38.29,10
21980,PACK OF 12 RED RETROSPOT TISSUES,-132,-38.28,3
90185B,AMETHYST DIAMANTE EXPANDABLE RING,-9,-38.25,2
21464,DISCO BALL ROTATOR BATTERY OPERATED,-9,-38.25,4
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,-9,-38.25,5
23311,VINTAGE CHRISTMAS STOCKING,-15,-38.25,4
22915,ASSORTED BOTTLE TOP  MAGNETS,-90,-37.8,4
22055,MINI CAKE STAND  HANGING STRAWBERY,-23,-37.75,7
22971,QUEENS GUARD COFFEE MUG,-16,-37.65,5
23320,GIANT 50'S CHRISTMAS CRACKER,-13,-37.57,2
22680,FRENCH BLUE METAL DOOR SIGN 5,-30,-37.5,2
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,-30,-37.5,4
47559B,TEA TIME OVEN GLOVE,-30,-37.5,2
23459,DOLLY CABINET 2 DRAWERS,-3,-37.5,2
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,-10,-37.5,6
15058B,PINK POLKADOT GARDEN PARASOL,-5,-37.35,2
15058A,BLUE POLKADOT GARDEN PARASOL,-5,-37.35,4
23130,MISTLETOE HEART WREATH GREEN,-9,-37.35,2
23255,CHILDRENS CUTLERY CIRCUS PARADE,-9,-37.35,3
84766,SILVER ROCOCO CANDLE STICK,-15,-37.25,3
84849D,HOT BATHS SOAP HOLDER,-22,-37.18,2
22197,SMALL POPCORN HOLDER,-44,-37.14,14
22607,WOODEN ROUNDERS GARDEN SET,-4,-36.9,4
21703,BAG 125G SWIRLY MARBLES,-87,-36.54,6
23144,ZINC T-LIGHT HOLDER STARS SMALL,-44,-36.52,3
